2025-09-10 23:21:21,154 DEBUG    root            Loaded Command Group: ['gcloud', 'projects']
2025-09-10 23:21:21,157 DEBUG    root            Loaded Command Group: ['gcloud', 'projects', 'list']
2025-09-10 23:21:21,157 DEBUG    root            Running [gcloud.projects.list] with arguments: []
2025-09-10 23:21:21,157 INFO     root            client_filter="None" server_filter="None"
2025-09-10 23:21:21,197 DEBUG    root            Chosen display Format:
    table(
      projectId:sort=1,
      name,
      projectNumber
    )

2025-09-10 23:21:21,198 INFO     root            Display format: "
    table(
      projectId:sort=1,
      name,
      projectNumber
    )
"
2025-09-10 23:21:21,203 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): cloudresourcemanager.googleapis.com:443
2025-09-10 23:21:22,473 DEBUG    urllib3.connectionpool https://cloudresourcemanager.googleapis.com:443 "GET /v1/projects?alt=json&filter=lifecycleState%3AACTIVE&pageSize=500 HTTP/11" 200 None
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ PROJECT_ID
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___                       
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ NAME
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___                  
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ PROJECT_NUMBER
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ cs-poc-fnsczbrb2jypuxbkyvm8fli
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___   
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ POC project
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___           
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ 686478321571
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ droner-f7c33
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___                     
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ DRONER
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___                
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ 1083750968516
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ google-mpf-172983073065
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___          
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ LionService-mp
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___        
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ 232368778929
2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,484 INFO     ___FILE_ONLY___ google-mpf-59036457140
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___           
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ Proof of Concept-mp
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___   
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 219605409270
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ helpful-potential-g7fts
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___                               
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 484648884148
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ lionsofzion-bcc4a
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___                
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ LionsOfZion
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___           
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 266978726573
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ lionsofzion-dev
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___                  
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ LionsOfZion Dev
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___       
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 1037795887975
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ lionsofzion-hub
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___                  
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ LionsOfZion Hub
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___       
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 281257474071
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 

2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ lionspace
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___                        
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ LionSpace
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___             
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 707897822334
2025-09-10 23:21:22,485 INFO     ___FILE_ONLY___ 

