2025-09-10 23:34:27,042 DEBUG    root            Loaded Command Group: ['gcloud', 'sql']
2025-09-10 23:34:27,043 DEBUG    root            Loaded Command Group: ['gcloud', 'sql', 'instances']
2025-09-10 23:34:27,067 DEBUG    root            Loaded Command Group: ['gcloud', 'sql', 'instances', 'list']
2025-09-10 23:34:27,068 DEBUG    root            Running [gcloud.sql.instances.list] with arguments: []
2025-09-10 23:34:27,079 DEBUG    root            Chosen display Format::(settings.userLabels:alias=labels:label=LABELS) table(name,databaseVersion,firstof(gceZone,region):label=LOCATION,settings.tier,ip_addresses.filter("type:PRIMARY").*extract(ip_address).flatten().yesno(no="-"):label=PRIMARY_ADDRESS,ip_addresses.filter("type:PRIVATE").*extract(ip_address).flatten().yesno(no="-"):label=PRIVATE_ADDRESS,state:label=STATUS)
2025-09-10 23:34:27,079 INFO     root            Display format: ":(settings.userLabels:alias=labels:label=LABELS) table(name,databaseVersion,firstof(gceZone,region):label=LOCATION,settings.tier,ip_addresses.filter("type:PRIMARY").*extract(ip_address).flatten().yesno(no="-"):label=PRIMARY_ADDRESS,ip_addresses.filter("type:PRIVATE").*extract(ip_address).flatten().yesno(no="-"):label=PRIVATE_ADDRESS,state:label=STATUS)"
2025-09-10 23:34:27,083 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): sqladmin.googleapis.com:443
2025-09-10 23:34:27,709 DEBUG    urllib3.connectionpool https://sqladmin.googleapis.com:443 "GET /sql/v1beta4/projects/lionspace/instances?alt=json&maxResults=1000 HTTP/11" 200 None
2025-09-10 23:34:27,715 INFO     ___FILE_ONLY___ NAME
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___            
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ DATABASE_VERSION
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___   
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ LOCATION
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___     
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ TIER
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___          
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ PRIMARY_ADDRESS
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___   
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ PRIVATE_ADDRESS
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___   
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ STATUS
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ 

2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ dify-postgres
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___   
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ POSTGRES_15
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___        
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ us-east1-d
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___   
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ db-f1-micro
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___   
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ -
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___                 
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ 10.179.0.3
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___        
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ RUNNABLE
2025-09-10 23:34:27,716 INFO     ___FILE_ONLY___ 

